sample_id,n_of_reads,Site,,
CD_121_V3,41275960,Teagasc,,
CD_122_V1,21874888,Trento,,
CD_122_V3,29646193,Trento,,
CD_123_V3,48548451,Trento,,
CD_123_V1,28124648,Trento,,
CD_125_V3,63425372,Teagasc,,
CD_125_V1,55045506,Teagasc,,
CD_127_V1,26211556,Trento,,
CD_127_V3,49257927,Trento,,
CD_130_V1,29385612,Trento,,
CD_131_V1,27961860,Teagasc,,
CD_131_V3,53342377,Teagasc,,
CD_132_V1,29774570,Trento,,
CD_132_V3,16534612,Trento,,
CD_133_V1,16304769,Trento,,
CD_133_V3,78191796,Trento,,
CD_135_V1,28714382,Trento,,
CD_135_V3,70351059,Trento,,
CD_139_V1,57240472,Trento,,
CD_139_V3,17343437,Trento,,
CD_143_V1,76809732,Trento,,
CD_143_V3,86670514,Trento,,
CD_147_V1,54053957,Teagasc,,
CD_147_V3,55857551,Teagasc,,
CD_150_V1,63035591,Teagasc,,
CD_150_V3,58207347,Teagasc,,
CD_161_V1,71993798,Teagasc,,
CD_161_V3,55320165,Teagasc,,
CD_164_V1,53114101,Trento,,
CD_164_V3,42388160,Trento,,
CD_165_V1,98245654,Trento,,
CD_165_V3,48283420,Trento,,
CD_169_V1,59390827,Teagasc,,
CD_169_V3,63530296,Teagasc,,
CD_172_V1,72049449,Trento,,
CD_172_V3,37120941,Trento,,
CD_176_V1,39298588,Trento,,
CD_176_V3,64044422,Trento,,
CD_181_V1,49373340,Teagasc,,
CD_181_V3,52678984,Teagasc,,
CD_182_V1,60700673,Teagasc,,
CD_182_V3,46942635,Teagasc,,
CD_186_V1,33861733,Teagasc,,
CD_186_V3,53062274,Teagasc,,
CD_190_V1,74234635,Teagasc,,
CD_190_V3,54499361,Teagasc,,
CD_198_V1,45824359,Trento,,
CD_198_V3,76789353,Trento,,
CD_200_V1,68128461,Teagasc,,
CD_200_V3,56947801,Teagasc,,
CD_202_V1,45954576,Teagasc,,
CD_202_V3,30957214,Teagasc,,
CD_204_V1,64308711,Teagasc,,
CD_204_V3,54299969,Teagasc,,
CD_205_V1,87945005,Teagasc,,
CD_205_V3,46893552,Teagasc,,
CD_206_V1,29057025,Trento,,
CD_206_V3,102242605,Trento,,
CD_207_V1,47602847,Teagasc,,
CD_207_V3,53873879,Teagasc,,
CD_209_V1,41376891,Teagasc,,
CD_209_V3,37795470,Teagasc,,
CD_215_V1,3380,Trento,,
CD_215_V3,40865612,Trento,,
CD_229_V1,48437558,Teagasc,,
CD_229_V3,108357010,Teagasc,,
CD_230_V1,32657490,Trento,,
CD_230_V3,122871702,Trento,,
CD_237_V1,66624565,Trento,,
CD_237_V3,42574796,Trento,,
CD_239_V1,22282883,Trento,,
CD_239_V3,42737708,Trento,,
CD_241_V1,36378414,Trento,,
CD_241_V3,53949757,Trento,,
CD_247_V1,57229619,Teagasc,,
CD_247_V3,53550571,Teagasc,,
CD_249_V1,66220479,Trento,,
CD_249_V3,40317329,Trento,,
CD_251_V1,58117582,Teagasc,,
CD_251_V3,62655592,Teagasc,,
CD_256_V1,62954666,Trento,,
CD_273_V1,58335993,Teagasc,,
CD_278_V1,58457172,Teagasc,,
CD_278_V3,50467584,Teagasc,,
CD_280_V1,70008279,Teagasc,,
CD_280_V3,50919603,Teagasc,,
CD_293_V1,32191052,Teagasc,,
CD_293_V3,50284894,Teagasc,,
CD_295_V1,56657258,Teagasc,,
CD_295_V3,58104001,Teagasc,,
CD_324_V1,56657487,Teagasc,,
CD_324_V3,42463366,Teagasc,,
CD_336_V1,77597195,Teagasc,,
CD_336_V3,40233922,Teagasc,,
CD_342_V1,43233676,Teagasc,,
CD_347_V1,75431490,Teagasc,,
CD_347_V3,49681653,Teagasc,,
CD_353_V1,9685140,Teagasc,,
CD_353_V3,58085002,Teagasc,,
CD_359_V1,66510897,Teagasc,,
CD_359_V3,51003024,Teagasc,,
CD_363_V1,48769577,Teagasc,,
CD_363_V3,35410376,Teagasc,,
CD_365_V1,63116314,Teagasc,,
CD_365_V3,62360967,Teagasc,,
CD_368_V1,20527654,Teagasc,,
CD_368_V3,47950041,Teagasc,,
CD_371_V1,53903882,Teagasc,,
CD_371_V3,27254761,Teagasc,,
CD_375_V1,49390223,Teagasc,,
CD_375_V3,54825644,Teagasc,,
CD_377_V1,26076922,Teagasc,,
CD_377_V3,43712314,Teagasc,,
CD_379_V1,66107537,Teagasc,,
CD_379_V3,75880597,Teagasc,,
CD_380_V1,63530737,Teagasc,,
CD_380_V3,65504297,Teagasc,,
CD_404_V1,63025862,Teagasc,,
CD_404_V3,73707077,Teagasc,,
Control_extraction,3990,Teagasc,,
Mock,39273647,Teagasc,,
