0,1,2
1.279460238733486,1.2889737690403245,0.18085141587681686
1.0514730598564204,1.0545036878492438,0.14904586209320014
0.8735052187799043,0.8931971488977217,0.13595608723322244
0.7516686885565652,0.7505090918949521,0.10113475868654877
0.6166052012433032,0.6389868205541189,0.07760001697867172
0.543171989084339,0.5567242535598456,0.0863645835031504
0.4758228632196003,0.4661820634056473,0.05794278856081604
0.3691136757729621,0.3887723625498017,0.06781983475116828
0.33108679217791037,0.334361783905313,0.06668023477739722
0.26138050510984345,0.29391699082529066,0.043859842897626664
