ID,VISIT,microb_large_emb_coord_1,microb_large_emb_coord_2,microb_large_emb_coord_3,microb_large_emb_coord_4,microb_large_emb_coord_5,microb_large_emb_coord_6,microb_large_emb_coord_7,microb_large_emb_coord_8,microb_large_emb_coord_9,microb_large_emb_coord_10,microb_large_emb_coord_11,microb_large_emb_coord_12,microb_large_emb_coord_13,microb_large_emb_coord_14,microb_large_emb_coord_15,microb_large_emb_coord_16,microb_large_emb_coord_17,microb_large_emb_coord_18,microb_large_emb_coord_19,microb_large_emb_coord_20
3,1,0.03962065887727462,-0.02580297576364544,0.11606750855443028,0.13087041186585435,0.05958761317525108,0.02195483794423362,0.11697724344003906,-0.03434843762706409,0.0376276891949544,-0.011712121191430367,-0.056075069221504494,0.07589003872540405,0.0010988211459609391,-0.004150055777020056,0.048142056609184254,-0.11329722979902451,0.06562169602054865,0.09021081861899356,-0.20104233832846605,0.11488545662389624
3,3,0.0339520975363154,-0.0255117891915571,0.08441157522406403,0.08376998678554362,0.047324958661158524,0.023849052370229287,0.047528148729879885,-0.046317913748680536,0.016361876808138588,-0.009136711001681718,-0.06224536534306341,0.05160540755650839,0.006400518809229324,-0.05300879470894811,0.035408707508924595,-0.11269618511500892,0.06290663137661485,0.10549959555288879,-0.21102606589426456,0.1328215361208476
5,1,0.03101416004135599,0.02019710188038621,-0.03593003639273038,0.09609150786933077,-0.048991903536959126,-0.023924339777723024,-0.056957785541640646,0.05010402168918228,0.023689736277004277,-0.020206788856329944,-0.06099371828900924,-0.15115330181599881,-0.02306897506725723,-0.030088011068818234,0.023548224949834738,-0.001739348118414258,-0.013865438128259132,-0.029665456121122893,0.041314039643358086,-0.009171439224184688
5,3,0.028346377875082405,0.020548267490787947,-0.04928184804102342,0.07103465937942105,-0.05424188166411457,-0.012302155316711479,-0.10172358379997921,0.032242193708119725,0.20448848578338835,0.0186724258686175,-0.05912468296190338,-0.09475534559012339,-0.008764911740527438,-0.07623101034401011,0.11345468889840933,-0.09943144058155708,-0.044465018856870805,-0.00796933085582414,0.021680098501859542,-0.03762078846045212
7,1,0.04438347561568788,0.002502287647034439,0.09358105725391985,0.1291429814040787,0.027981432530419046,-0.005553622222922337,0.15478569876350962,0.025255717378962362,0.0519079395055466,0.005117657709135497,0.05409455221110346,0.06695302564647647,-0.004382336393919575,0.056043461339042235,0.02396416159404018,0.04672088699206125,-0.02418228646743917,-0.08806826886751833,0.1440711825745809,-0.11671399799289589
7,3,0.038830424452751686,0.026523370068036015,0.028901854008351317,0.014099972250133036,0.014867019357859034,-0.015185298108028086,0.024878355394336405,0.048558512757273554,-0.04270950382553981,0.02594352499677744,0.13568187876641938,-0.019195857204777587,-0.005910182948817131,-0.03876120327906692,-0.021138598498498862,-0.05948016253061813,0.046470672443143644,-0.0023155579225059117,0.036424294451595896,-0.03736275375496458
12,1,0.0022580555653333965,0.027706992458867524,-0.053142068984693584,0.03261250589138668,-0.0027163140353268964,0.053202870310070594,-0.01433399485448421,-0.097376839252161,-0.017993400530364016,-0.026894331885347456,0.013313221383380477,-0.04148785368291466,0.0335447988515017,0.09971495948430664,-0.15920633564798178,-0.06658149386701462,0.02806779391722828,0.006381342384354064,0.010235439551202903,-0.05214889990826375
12,3,-0.010079896058402793,0.030458662526474074,-0.055042439608897056,0.03231301764949021,0.007698399134102212,0.08186159190869637,-0.019621957795673797,-0.12112013495254174,-0.017866288486798623,-0.03175452342206702,0.028588783404448453,-0.017312735527675007,0.04320608740388161,0.095275653884173,-0.12454977940678558,-0.058693103643065056,-0.043874130785037456,0.0528595812227245,0.011528747759275327,-0.08278075613899509
13,1,0.04345228328307365,0.09347282012025948,-0.06939630197475508,-0.12006837303737049,0.14077798496987284,-0.09460921980672866,0.10883802422758383,-0.008154887006931049,0.013672385634200304,0.01971596889012513,-0.11495050556827306,-0.061496864742855394,-0.04187973880932775,0.05527521238038432,0.039363362138980916,-0.032046256385907544,-0.03916014988487586,0.03453499102153584,-0.01306897150142514,-0.05363672313507322
13,3,0.044815963045799725,0.08014060122926618,-0.03696344419672846,-0.018314588947795266,0.026438468052146027,-0.057318280467317,0.0009904643863479611,0.10592099011250704,-0.10537350853016758,0.03610610204931575,0.09777027666761809,0.04207326660058071,0.02348908488155229,0.01205283388254285,0.06640134005671813,-0.1720915728363408,-0.04958348296507178,0.025655009289527148,0.02193617392072664,-0.004929686296679427
15,1,0.026938542428891852,-0.07743600230559491,0.07763062170648084,0.01328090976712731,0.08252275824021213,-0.01006263321321424,-0.07695395456319286,-0.011304410484698178,-0.02588499181813759,0.05790955311433918,0.04174795116788864,-0.09516022240872547,-0.1175145583413547,-0.041560332630716734,-0.015030320993380671,0.017970804017624742,0.1228403131291902,0.26445096683654573,0.06423397323638129,-0.07406556698186217
15,3,0.021991939218380843,-0.06724164060875054,0.057059521392104844,0.016195257797407412,0.055092092809081276,0.001403873741562174,-0.021175483233396943,-0.03064616346024159,-0.005562567484276657,0.01908555155445449,0.031063166106188794,-0.01547653181560918,-0.07234253696310507,-0.05356410326575326,0.025506514373228654,-0.03783235420806382,0.09770190632760554,0.16165036576171166,-0.06628292089519763,0.018479419743112294
16,1,0.012688052183786094,-0.11133237460328124,-0.0003712807529524424,-0.023903604816476007,0.0006972117857541248,-0.09204340787225893,-0.042114148180877324,-0.09261653297531282,-0.034006318043950365,0.106106371679024,0.028507660191092812,0.02362940825370824,-0.006175571672972957,0.014482350303452471,0.0402277245520792,0.028019628832573973,0.07964381079645089,-0.0893346289336071,-0.034186737414851634,-0.12329436652831487
16,3,0.00579519066215472,-0.1332369599345581,-0.060149078416259036,-0.011153151004438056,-0.08771405538127913,-0.1787525617429791,0.020473538245085774,-0.16152261731216205,-0.05235776069025234,0.1589342603140023,0.04123276783273433,0.04724308988167716,0.05234005028927926,0.048941856714561034,0.06632858489548293,0.03431461388479116,0.10200379134478614,-0.11960111370580262,-0.10355833652783758,-0.15569504062246237
17,1,0.03543603372585395,0.07644517265313232,-0.070805918386748,-0.12349626645550221,0.13740793454502803,-0.06839323697093924,0.10493873610867521,-0.039845550158479126,0.06277869099810059,-0.007752730643195071,-0.12605145531060769,-0.07407010255610491,-0.07548326385314917,0.08612268735804546,0.0034284323322204924,0.07619295446184046,-0.002969617566920762,0.00479092611458659,-0.07539018495754322,-0.013889294042481504
17,3,0.010725218165533736,0.011028473068773527,-0.06633109357932265,0.04737513184270993,-0.029565887372177368,0.019852814302010777,-0.06071328419313337,-0.03927849563131985,0.04240852204967146,-0.0034060383800548696,-0.04484637590293944,0.037490538894919836,-0.02783569726481549,0.025660279510680874,-0.002546064956604719,-0.06680331314981931,0.051980368934924255,-0.023328534033913197,0.05678602856018916,0.01720373309031483
19,1,0.04570538040569955,0.06532708369696798,0.013116063751969366,-0.034235485943088395,-0.020425306852062376,-0.010985365208859125,0.013270782073085774,0.01011965564807453,0.09877828480351718,0.04161264812267096,0.09014395868109815,0.05259617687750635,0.06594333026886524,-0.033688732879154894,-0.0405687498845486,0.1584435647714474,-0.01503722156043661,0.02828369160382736,0.03693799103778464,-0.0021975735518537393
19,3,0.040990743180956565,0.07724066778073325,-0.03818896420261093,-0.06258848962730323,0.05074652376831383,-0.0422370379176884,0.04170011101333804,-0.005907968868383327,0.08756051454700103,0.03155207069815349,0.003799695923354662,0.002712672851975728,0.023480888904255676,0.0184482966951631,-0.028701451940516112,0.10367892851754765,-0.011699467027403281,0.04672923616336166,0.018508608965482343,-0.012249768033780967
20,1,0.05759105364398072,0.060106778576580595,0.12975677065989236,-0.1321095927705195,-0.1848779835251167,0.04950076682589106,0.017712106824375788,-0.0422160545862736,-0.0340846980051419,-0.019546004610649065,-0.04332999229840676,-0.010571374757308656,-0.06069214159823452,0.008113149696003023,0.03476942775098901,-0.03638789855884877,-0.005267754415734546,-0.000523314414324181,0.013410411423463794,-0.027671927181939955
20,3,0.04332777356949498,0.04577722022666501,0.039370507739587925,-0.042307880108313906,-0.025173202697430876,0.006294630139676732,0.000829259386912767,-0.009333957095348766,0.04425663874366027,0.01968167504622731,0.036121089392520456,0.02147335972491073,0.03618979113483938,0.000681534700730394,-0.06035726445189952,0.0881649727792268,0.01496227878179326,0.019046433616946738,-0.029628063865164467,0.04870772468977247
